link,titulo,sentimento
https://www.infomoney.com.br/politica/durigan-governo-fez-esforco-para-harmonizar-necessidades-do-agro-e-contas-publicas/,Durigan: governo fez esforço para harmonizar necessidades do agro e contas públicas,positivo
https://www.infomoney.com.br/mercados/canetas-emagrecedoras-dona-do-ozempic-abre-loja-no-mercado-livre-do-mexico-e-afeta-farmaceuticas-da-b3/,Dona do Ozempic abre loja no Mercado Livre do México e afeta farmacêuticas da B3,negativo
https://www.infomoney.com.br/politica/na-cupula-do-mercosul-lula-diz-que-pais-vive-melhor-momento-economico/,"Na Cúpula do Mercosul, Lula diz que país vive melhor momento econômico",positivo
https://www.infomoney.com.br/politica/lula-pix-pode-servir-de-base-para-estrutura-de-pagamentos-que-beneficie-o-mercosul/,Lula: Pix pode servir de base para estrutura de pagamentos que beneficie o Mercosul,positivo
https://www.infomoney.com.br/mercados/amil-sera-vendida-o-que-pode-em-meio-a-rumores-sobre-mudancas-na-companhia/,Amil será vendida? O que pode em meio a rumores sobre mudanças na companhia,negativo
https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-30062026/,Ibovespa Hoje Ao Vivo: Bolsa cai e tenta segurar os 172 mil pontos,negativo
https://www.infomoney.com.br/consumo/pre-venda-bathbody-works-brasil-precos/,Pré-venda da Bath&Body Works no Brasil está disponível; veja preços,neutro
https://www.infomoney.com.br/mundo/eua-suprema-corte-derruba-limite-de-gastos-de-campanhas-vitoria-para-republicanos/,EUA: Suprema Corte derruba limite de gastos de campanhas; vitória para republicanos,negativo
https://www.infomoney.com.br/onde-investir/corretora-comete-gafe-em-e-mail-fica-sem-acoes-da-spacex-e-pede-desculpas/,"Corretora comete gafe em e-mail, fica sem ações da SpaceX e pede desculpas",negativo
https://www.infomoney.com.br/politica/governo-apresentara-proposta-de-renegociacao-de-dividas-rurais-em-breve-diz-durigan/,"Governo apresentará proposta de renegociação de dívidas rurais em breve, diz Durigan",positivo
https://www.infomoney.com.br/minhas-financas/cnpj-passara-a-ter-letras-a-partir-de-julho-entenda-o-motivo/,CNPJ passará a ter letras a partir de  julho. Entenda o motivo,positivo
https://www.infomoney.com.br/business/global/oma-leva-adiante-plano-para-cobrar-pedagio-por-passagem-no-estreito-de-ormuz/,Omã leva adiante plano para cobrar pedágio por passagem no Estreito de Ormuz,neutro
https://www.infomoney.com.br/economia/ex-presidentes-e-ex-diretores-do-bc-divulgam-carta-em-apoio-a-pec-da-autonomia/,Ex-presidentes e ex-diretores do BC divulgam carta em apoio à PEC da autonomia,positivo
https://www.infomoney.com.br/esportes/alemanha-volta-a-estaca-zero-mais-uma-vez-apos-3o-fracasso-consecutivo-na-copa/,"Alemanha volta à estaca zero, mais uma vez, após 3º fracasso consecutivo na Copa",neutro
https://www.infomoney.com.br/mercados/petrobras-cria-mecanismo-e-limita-alta-do-gas-a-ate-6-a-partir-de-agosto/,Petrobras cria mecanismo e limita alta do gás a até 6% a partir de agosto,positivo
https://www.infomoney.com.br/onde-investir/tesouro-direto-paga-juros-historicos-veja-como-aproveitar-com-guia-gratuito/,Tesouro Direto paga juros históricos: veja como aproveitar com guia gratuito,positivo
https://www.infomoney.com.br/politica/acho-muito-justas-criticas-de-erika-hilton-ao-psol-pelo-fundo-eleitoral-diz-boulos/,"Acho muito justas críticas de Erika Hilton ao PSOL pelo fundo eleitoral, diz Boulos",neutro
https://www.infomoney.com.br/esportes/gramado-calor-e-acesso-colocam-estadio-da-final-da-copa-sob-pressao/,"Gramado, calor e acesso colocam estádio da final da Copa sob pressão",neutro
https://www.infomoney.com.br/mercados/sal-e-o-novo-petroleo-como-as-baterias-de-sodio-podem-redefinir-futuro-da-energia/,“Sal é o novo petróleo”: como as baterias de sódio podem redefinir futuro da energia,positivo
https://www.infomoney.com.br/mercados/principal-questao-do-mercado-nao-e-mais-identificar-se-ha-bolha-em-ia-aponta-xp/,"Principal questão do mercado não é mais identificar se há bolha em IA, aponta XP",negativo
https://www.infomoney.com.br/mercados/automacao-no-trade-plano-da-trade2go-para-resultados-consistentes/,"A gente não vende ilusão mas tem oportunidade, diz trader sobre operação automatizada",negativo
https://www.infomoney.com.br/mercados/jpmorgan-aponta-forte-assimetria-e-divide-estrategias-de-acoes-do-agro-sob-o-el-nino/,JPMorgan aponta forte assimetria e divide estratégias de ações do agro sob o El Niño,negativo
https://www.infomoney.com.br/mercados/ouro-fecha-dia-proximo-a-estabilidade-e-recua-12-no-mes-com-fed-mais-cauteloso/,Ouro fecha dia próximo à estabilidade e recua 12% no mês com Fed mais cauteloso,negativo
https://www.infomoney.com.br/mercados/bolsas-da-europa-fecham-na-maioria-em-alta-com-tecnologia-ia-e-de-olho-em-petroleo/,"Bolsas da Europa fecham na maioria em alta com tecnologia, IA e de olho em petróleo",positivo
https://www.infomoney.com.br/onde-investir/fiis-tem-pior-1o-semestre-desde-2022-veja-maiores-altas-e-baixas/,FIIs têm pior 1º semestre desde 2022; veja maiores altas e baixas,negativo
https://www.infomoney.com.br/tudo-sobre/fundos-imobiliarios/,Fundos Imobiliários,neutro
https://www.infomoney.com.br/onde-investir/nem-todo-dividendo-e-igual-o-que-fiis-fiagros-e-fi-infra-ensinam-sobre-risco/,"‘Nem todo dividendo é igual’: o que FIIs, Fiagros e FI-Infra ensinam sobre risco",neutro
https://www.infomoney.com.br/tudo-sobre/criptomoedas/,Criptos,neutro
https://www.infomoney.com.br/onde-investir/o-que-fazer-com-bitcoin-apos-desabar-50/,"Comprar, esperar ou sair? O que especialistas dizem após o Bitcoin desabar 50%",negativo
https://www.infomoney.com.br/onde-investir/renda-fixa-hoje-30062026/,"Renda Fixa Hoje: conheça as taxas de CDBs, LCIs e LCAs na XP com dólar em alta",negativo
https://www.infomoney.com.br/onde-investir/xp-international-disponibiliza-predictions-market-plataformas-xp-rico/,XP International disponibiliza Predictions Market para plataformas XP e Rico,neutro
https://www.infomoney.com.br/onde-investir/recomendacoes-investimento-internacional-2-semestre-2026/,"""IPCA+8% não é de graça"": Por que aposta em dólar pode ser chave no 2º semestre",negativo
https://www.infomoney.com.br/onde-investir/riqueza-no-topo-cresce-e-brasil-soma-92-mil-novos-milionarios/,"Riqueza no topo cresce, e Brasil soma 9,2 mil novos milionários em um ano",neutro
https://www.infomoney.com.br/onde-investir/mais-um-titulo-tesouro-ipca-se-aproxima-dos-8-apos-resultado-fiscal-ruim/,Mais um título Tesouro IPCA+ se aproxima dos 8% após resultado fiscal ruim,negativo
https://www.infomoney.com.br/colunistas/leonardo-vasques/o-sp-500-e-imbativel/,O S&P 500 é imbatível?,positivo
https://www.infomoney.com.br/onde-investir/celesc-tim-e-cemig-lideram-dia-mais-movimentado-em-dividendos-de-junho/,"Celesc, Tim e Cemig lideram dia mais movimentado em dividendos de junho",positivo
https://www.infomoney.com.br/onde-investir/bitcoin-pior-investimento-1-semestre-2026/,Bitcoin é o pior investimento do semestre: 3 razões e o que esperar agora,negativo
https://www.infomoney.com.br/politica/governo-anuncia-fim-do-subsidio-de-r035-por-litro-de-diesel-e-avalia-mais-reversoes/,"Governo anuncia fim do subsídio de R$0,35 por litro de diesel e avalia mais reversões",positivo
https://www.infomoney.com.br/economia/brasil-abre-72-960-vagas-formais-de-trabalho-em-maio-menor-saldo-para-mes-desde-2020/,"Brasil abre 72.960 vagas formais de trabalho em maio, menor saldo para mês desde 2020",negativo
https://www.infomoney.com.br/economia/pmi-dos-estados-unidos-medido-pelo-ism-cai-a-567-em-junho/,"PMI dos Estados Unidos medido pelo ISM cai a 56,7 em junho",neutro
https://www.infomoney.com.br/economia/indice-de-confianca-do-consumidor-nos-eua-sobe-a-912-em-junho/,"Índice de confiança do consumidor nos EUA sobe a 91,2 em junho",negativo
https://www.infomoney.com.br/economia/abertura-de-postos-de-trabalho-nos-eua-sobe-a-7594-mi-em-maio-acima-do-esperado/,"Abertura de postos de trabalho nos EUA sobe a 7,594 mi em maio, acima do esperado",positivo
https://www.infomoney.com.br/economia/setor-publico-tem-deficit-de-r-561-bi-e-divida-publica-sobe-mais-que-o-esperado/,"Setor público tem déficit de R$ 56,1 bi e dívida pública sobe mais que o esperado",negativo
https://www.infomoney.com.br/economia/divida-publica-bruta-do-brasil-sobe-mais-que-o-esperado-em-maio-a-811-do-pib/,"Dívida pública bruta do Brasil sobe mais que o esperado em maio, a 81,1% do PIB",negativo
https://www.infomoney.com.br/esportes/ons-consumo-de-energia-cai-ate-21-na-partida-do-brasil-na-copa/,ONS: Consumo de energia cai até 21% na partida do Brasil na Copa,neutro
https://www.infomoney.com.br/economia/bradesco-eleva-pib-de-2026-e-ve-inflacao-e-selic-maiores-neste-ano-e-em-2027/,Bradesco eleva PIB de 2026 e vê inflação e Selic maiores neste ano e em 2027,negativo
https://www.infomoney.com.br/politica/senado-adia-votacao-de-pauta-bomba-da-saude-com-impacto-de-r-28-bilhoes/,Senado adia votação de pauta-bomba da saúde com impacto de R$ 28 bilhões,positivo
https://www.infomoney.com.br/esportes/raphinha-treina-pela-1a-vez-desde-a-lesao-e-aumenta-otimismo-para-voltar-na-copa/,Raphinha treina pela 1ª vez desde a lesão e aumenta otimismo para voltar na Copa,neutro
https://www.infomoney.com.br/esportes/jogo-costa-do-marfim-noruega-copa-2026/,ASSISTA AOS GOLS: Haaland marca e classifica Noruega para enfrentar o Brasil na Copa,neutro
https://www.infomoney.com.br/consumo/roubos-furtos-carros-sp-bairros/,Os bairros com maior índice de roubos e furtos de carros de São Paulo; veja lista,neutro
https://www.infomoney.com.br/consumo/canetas-emagrecedoras-com-precos-reduzidos-da-eurofarma-chegam-as-farmacias/,Canetas emagrecedoras com preços reduzidos da Eurofarma chegam às farmácias,neutro
https://www.infomoney.com.br/politica/1a-turma-do-stf-mantem-decisao-que-proibe-aposentadoria-compulsoria-como-punicao/,1ª Turma do STF mantém decisão que proíbe aposentadoria compulsória como punição,neutro
https://www.infomoney.com.br/politica/governo-estuda-recorrer-ao-stf-se-pauta-bomba-avancar-no-senado/,Governo estuda recorrer ao STF se pauta-bomba avançar no Senado,negativo
https://www.infomoney.com.br/mundo/riqueza-global-novos-milionarios/,Mundo ganhou quase 1 milhão de novos milionários em 2025: o que explica?,positivo
https://www.infomoney.com.br/politica/pf-investiga-esquema-de-anuncios-falsos-com-imagem-do-governo-e-orgaos-publicos/,PF investiga esquema de anúncios falsos com imagem do governo e órgãos públicos,negativo
https://www.infomoney.com.br/esportes/onde-assistir-inglaterra-congo/,Onde assistir Inglaterra x Congo?,neutro
https://www.infomoney.com.br/mundo/apos-terremotos-venezuelanos-lideram-resgates-sob-acusacoes-contra-militares/,"Após terremotos, venezuelanos lideram resgates sob acusações contra militares",neutro
https://www.infomoney.com.br/esportes/inglaterra-x-rd-congo-modelo-matematico-aponta-possivel-resultado-do-jogo-veja/,Inglaterra x RD Congo: modelo matemático aponta possível resultado do jogo; veja,neutro
https://www.infomoney.com.br/mercados/goldman-ve-acoes-brasileiras-baratas-e-reitera-compra-para-brasil-entre-emergentes/,Goldman vê ações brasileiras baratas e reitera “compra” para Brasil entre emergentes,positivo
https://www.infomoney.com.br/mercados/minerio-cai-com-cenario-de-demanda-prejudicado-por-cotas-de-importacao-de-aco-da-ue/,"Minério cai, com cenário de demanda prejudicado por cotas de importação de aço da UE",negativo
https://www.infomoney.com.br/onde-investir/tesouro-direto-abre-fecha-01072026/,Novo papel do Tesouro cruza 8% ao ano pela 1ª vez com pesquisa eleitoral no radar,positivo
https://www.infomoney.com.br/mercados/xp-trade-eleitoral-comecou-mas-risco-maior-e-fiscal-veja-acoes-para-lidar-com-cenario/,"Trade eleitoral começou, mas risco maior é fiscal; veja ações para lidar com cenário",negativo
https://www.infomoney.com.br/mercados/o-que-muda-para-petrobras-vibra-e-ultrapar-com-o-fim-do-subsidio-ao-diesel/,"O que muda para Petrobras, Vibra e Ultrapar com o fim do subsídio ao diesel?",neutro
https://www.infomoney.com.br/mercados/ibovespa-hoje-bolsa-de-valores-ao-vivo-01072026/,Ibovespa Hoje Ao Vivo: Bolsa cai 1% e perde os 170 mil pontos,negativo
https://www.infomoney.com.br/mercados/petroleo-abertura-fechamento-ira-eua-01072026/,Petróleo cai mais de 1% mesmo com incertezas sobre acordo entre EUA e Irã no Catar,negativo
https://www.infomoney.com.br/mercados/o-caso-do-bilhete-premiado-de-r-29-milhoes-que-desapareceu-do-cofre-de-uma-loterica/,O caso do bilhete premiado de R$ 29 milhões que desapareceu do cofre de uma lotérica,neutro
https://www.infomoney.com.br/mercados/dolar-hoje-abertura-fechamento-comercial-turismo-01072026/,Dólar hoje sobe com foco em dados dos EUA e à espera do presidente do Fed,neutro
https://www.infomoney.com.br/onde-investir/melhores-piores-ativos-1-semestre-2026/,"Petróleo, EUA, dividendos: os melhores (e piores) ativos do 1º semestre",positivo
https://www.infomoney.com.br/onde-investir/agenda-dividendos-julho-2026/,"Allos, Equatorial e Alupar pagam dividendos em julho; veja agenda completa",neutro
https://www.infomoney.com.br/onde-investir/fii-pmll11-pagara-novos-dividendos-em-julho-com-yield-de-094-confira-valor/,"FII PMLL11 pagará novos dividendos em julho com yield de 0,94%; confira valor",positivo
