titulo,predicao_finbert,confianca,rotulo_manual
Durigan: governo fez esforço para harmonizar necessidades do agro e contas públicas,positivo,0.613,positivo
Dona do Ozempic abre loja no Mercado Livre do México e afeta farmacêuticas da B3,negativo,0.776,negativo
"Na Cúpula do Mercosul, Lula diz que país vive melhor momento econômico",neutro,0.566,positivo
Lula: Pix pode servir de base para estrutura de pagamentos que beneficie o Mercosul,neutro,0.701,positivo
Amil será vendida? O que pode em meio a rumores sobre mudanças na companhia,positivo,0.470,negativo
Ibovespa Hoje Ao Vivo: Bolsa cai e tenta segurar os 172 mil pontos,negativo,0.665,negativo
Pré-venda da Bath&Body Works no Brasil está disponível; veja preços,positivo,0.530,neutro
EUA: Suprema Corte derruba limite de gastos de campanhas; vitória para republicanos,negativo,0.834,negativo
"Corretora comete gafe em e-mail, fica sem ações da SpaceX e pede desculpas",negativo,0.837,negativo
"Governo apresentará proposta de renegociação de dívidas rurais em breve, diz Durigan",negativo,0.566,positivo
CNPJ passará a ter letras a partir de  julho. Entenda o motivo,neutro,0.662,positivo
Omã leva adiante plano para cobrar pedágio por passagem no Estreito de Ormuz,negativo,0.735,neutro
Ex-presidentes e ex-diretores do BC divulgam carta em apoio à PEC da autonomia,neutro,0.625,positivo
"Alemanha volta à estaca zero, mais uma vez, após 3º fracasso consecutivo na Copa",negativo,0.855,neutro
Petrobras cria mecanismo e limita alta do gás a até 6% a partir de agosto,negativo,0.802,positivo
Tesouro Direto paga juros históricos: veja como aproveitar com guia gratuito,neutro,0.678,positivo
"Acho muito justas críticas de Erika Hilton ao PSOL pelo fundo eleitoral, diz Boulos",negativo,0.782,neutro
"Gramado, calor e acesso colocam estádio da final da Copa sob pressão",negativo,0.851,neutro
“Sal é o novo petróleo”: como as baterias de sódio podem redefinir futuro da energia,neutro,0.600,positivo
"Principal questão do mercado não é mais identificar se há bolha em IA, aponta XP",neutro,0.593,negativo
"A gente não vende ilusão mas tem oportunidade, diz trader sobre operação automatizada",neutro,0.753,negativo
JPMorgan aponta forte assimetria e divide estratégias de ações do agro sob o El Niño,negativo,0.383,negativo
Ouro fecha dia próximo à estabilidade e recua 12% no mês com Fed mais cauteloso,negativo,0.812,negativo
"Bolsas da Europa fecham na maioria em alta com tecnologia, IA e de olho em petróleo",positivo,0.575,positivo
FIIs têm pior 1º semestre desde 2022; veja maiores altas e baixas,negativo,0.680,negativo
Fundos Imobiliários,neutro,0.648,neutro
"‘Nem todo dividendo é igual’: o que FIIs, Fiagros e FI-Infra ensinam sobre risco",neutro,0.642,neutro
Criptos,neutro,0.647,neutro
"Comprar, esperar ou sair? O que especialistas dizem após o Bitcoin desabar 50%",negativo,0.763,negativo
"Renda Fixa Hoje: conheça as taxas de CDBs, LCIs e LCAs na XP com dólar em alta",neutro,0.684,negativo
XP International disponibiliza Predictions Market para plataformas XP e Rico,positivo,0.647,neutro
"""IPCA+8% não é de graça"": Por que aposta em dólar pode ser chave no 2º semestre",neutro,0.627,negativo
"Riqueza no topo cresce, e Brasil soma 9,2 mil novos milionários em um ano",positivo,0.524,neutro
Mais um título Tesouro IPCA+ se aproxima dos 8% após resultado fiscal ruim,negativo,0.786,negativo
O S&P 500 é imbatível?,positivo,0.578,positivo
"Celesc, Tim e Cemig lideram dia mais movimentado em dividendos de junho",positivo,0.629,positivo
Bitcoin é o pior investimento do semestre: 3 razões e o que esperar agora,negativo,0.808,negativo
"Governo anuncia fim do subsídio de R$0,35 por litro de diesel e avalia mais reversões",negativo,0.694,positivo
"Brasil abre 72.960 vagas formais de trabalho em maio, menor saldo para mês desde 2020",negativo,0.475,negativo
